,Exercise,Calories Burn,Actual Weight,Age,Duration,Heart Rate,BMI,Exercise Intensity,Gender_Male,Weather Conditions_Rainy,Weather Conditions_Sunny
0,Exercise 2,286.9598505,96.30111546,45,37,170,29.42627467,5,1,1,0
1,Exercise 7,343.4530361,61.1046681,25,43,142,21.28634599,5,1,1,0
2,Exercise 4,261.2234649,71.76672384,20,20,148,27.8995916,4,1,0,0
3,Exercise 5,127.1838584,82.98445557,33,39,170,33.72955245,10,1,0,1
4,Exercise 10,416.3183735,85.64317443,29,34,118,23.28611341,3,0,0,0
5,Exercise 1,479.7226901,80.59659152,60,41,169,34.71933604,10,0,1,0
6,Exercise 9,457.6313614,61.81538551,18,53,103,34.59464132,10,1,0,0
7,Exercise 4,272.9569819,62.80648911,42,25,104,22.05010343,2,1,0,0
8,Exercise 10,195.0322726,54.53768847,49,37,161,30.94884687,1,1,0,1
9,Exercise 8,259.5311447,97.43683277,41,55,103,31.22404465,10,1,0,0
10,Exercise 5,248.5361176,54.14440184,41,52,151,34.01756731,3,1,0,0
11,Exercise 1,376.5526493,97.36896072,35,28,158,34.56511678,6,0,0,1
12,Exercise 1,311.1060239,84.42865874,54,48,173,34.52263692,4,0,1,0
13,Exercise 8,497.549588,60.02686967,41,43,121,28.9313826,1,1,0,1
14,Exercise 10,451.8532602,61.25935824,19,59,174,26.34012389,4,1,0,0
15,Exercise 7,325.056217,86.46496723,54,42,105,28.9570926,9,1,0,1
16,Exercise 2,216.8663933,88.31452671,38,46,119,33.67888188,7,0,1,0
17,Exercise 10,377.1229305,84.14403879,42,26,126,23.89336292,9,1,0,1
18,Exercise 1,457.6203214,70.75616296,40,23,129,33.2386129,2,0,0,1
19,Exercise 9,103.3354905,84.43614261,49,59,149,20.44761953,8,1,1,0
20,Exercise 7,335.1512709,80.99303296,38,55,114,24.8895933,7,1,0,1
21,Exercise 9,131.4575318,52.29681481,29,37,135,20.54155838,2,1,0,1
